Kenton,Brent,16 April 1917,4,2.08,,,,
Kew Gardens,Richmond,1 June 1877,3~4,4.18,,,,
Kilburn,Brent,24 November 1879,2,8.58,,,,
Kilburn Park,Brent,31 January 1915,2,3.43,,,,
King's Cross St. Pancras,Camden,10 January 1863,1,95.03,,,,
Kingsbury,Brent,10 December 1932,4,5.12,,,,
Knightsbridge,Kensington and Chelsea,15 December 1906,1,19.09,,,,
Ladbroke Grove,Kensington and Chelsea,13 June 1864,2,5.8,,,,
Lambeth North,Lambeth,10 March 1906,1,0.00,,,,
Lancaster Gate,City of Westminster,30 July 1900,1,7.06,,,,
Latimer Road,Kensington and Chelsea,16 December 1868,2,7.06,,,,
Leicester Square,City of Westminster,15 December 1906,1,37.84,,,,
Leyton,Waltham Forest,05 May 1947,3,14.33,,,,
Leytonstone,Waltham Forest,05 May 1947,3~4,11.3,,,,
Liverpool Street,City of London,1 February 1875,1,71.61,,,,
London Bridge,Southwark,25 February 1900,1,70.74,,,,
Loughton,Epping Forest,21 November 1948,6,3.45,,,,
Maida Vale,City of Westminster,06 June 1915,2,3.41,,,,
Manor House,Hackney,19 September 1932,2~3,9.12,,,,
Mansion House,City of London,3 July 1871,1,6.14,,,,
Marble Arch,City of Westminster,30 July 1900,1,14.11,,,,
Marylebone,City of Westminster,27 March 1907,1,12.95,,,,
Mile End,Tower Hamlets,02 June 1902,2,15.75,,,,
Mill Hill East,Barnet,18 May 1941,4,1.34,,,,
Monument,City of London,6 October 1884,1,64.26,,,,
Moor Park,Three Rivers,09 May 1910,6~7,0.91,,,,
Moorgate,City of London,23 December 1865,1,27.57,,,,
Morden,Merton,13 September 1926,4,10.06,,,,
Mornington Crescent,Camden,22 June 1907,2,5.04,,,,
Neasden,Brent,2 August 1880,3,3.75,,,,
Newbury Park,Redbridge,14 December 1947,4,5.43,,,,
North Acton,Ealing,05 November 1923,2~3,6.53,,,,
North Ealing,Ealing,23 June 1903,3,0.91,,,,
North Greenwich,Greenwich,14 May 1999,2~3,26.45,,,,
North Harrow,Harrow,22 March 1915,5,1.97,,,,
North Wembley,Brent,16 April 1917,4,1.79,,,,
Northfields,Ealing,16 April 1908,3,3.91,,,,
Northolt,Ealing,21 November 1948,5,5.16,,,,
